date,code,name,market_cap,price,open_price,high_price,low_price,gap,gap_ratio,trading_volume,institutional_volume,foreign_volume,foreign_ratio,forum_url
2022-03-04,91990,셀트리온헬스케어,101720,65600,67200,68000,65300,2000,-2.96,694758,235101,-75982,17.27,https://finance.naver.com/item/board.naver?code=091990
2022-03-04,247540,에코프로비엠,88652,386800,390000,396700,385900,5700,-1.45,170609,-16500,-45223,13.94,https://finance.naver.com/item/board.naver?code=247540
2022-03-04,66970,엘앤에프,68924,198000,201500,203600,197200,6000,-2.94,346107,11155,-16899,20.73,https://finance.naver.com/item/board.naver?code=066970
2022-03-04,263750,펄어비스,65228,98500,100700,100800,97600,3100,-3.05,397795,36794,-53802,14.39,https://finance.naver.com/item/board.naver?code=263750
2022-03-04,293490,카카오게임즈,56408,72600,75000,75000,72300,3000,-3.97,746349,-1915,-116357,10.94,https://finance.naver.com/item/board.naver?code=293490
2022-03-04,112040,위메이드,34312,102200,107700,108000,101500,6400,-5.89,802228,-67518,-95113,6.28,https://finance.naver.com/item/board.naver?code=112040
2022-03-04,68760,셀트리온제약,33921,92800,94400,95400,92000,2500,-2.62,191628,9287,-97823,7.89,https://finance.naver.com/item/board.naver?code=068760
2022-03-04,28300,HLB,32729,30700,31100,31250,30450,600,-1.92,360929,19611,39344,14.05,https://finance.naver.com/item/board.naver?code=028300
2022-03-04,278280,천보,28380,283800,292900,293600,282000,9100,-3.11,69467,4138,-12041,10.3,https://finance.naver.com/item/board.naver?code=278280
2022-03-04,35760,CJ ENM,28223,128700,130700,130700,128500,2400,-1.83,46389,-3773,3809,21.68,https://finance.naver.com/item/board.naver?code=035760
2022-03-04,96530,씨젠,27523,52700,54000,54400,52600,1700,-3.12,461790,22104,230045,15.11,https://finance.naver.com/item/board.naver?code=096530
2022-03-04,58470,리노공업,27406,179800,182500,182500,177700,1700,-0.94,39725,-2320,-5201,48.3,https://finance.naver.com/item/board.naver?code=058470
2022-03-04,253450,스튜디오드래곤,26442,88100,87000,89300,85900,1600,1.85,217222,-9115,6209,10.87,https://finance.naver.com/item/board.naver?code=253450
2022-03-04,196170,알테오젠,23907,56500,57200,57500,55200,1100,-1.91,248882,61048,20529,11.93,https://finance.naver.com/item/board.naver?code=196170
2022-03-04,86520,에코프로,22777,95000,94400,96700,94000,0,0.0,479286,-15462,4770,8.47,https://finance.naver.com/item/board.naver?code=086520
2022-03-04,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.21,https://finance.naver.com/item/board.naver?code=048260
2022-03-04,108320,LX세미콘,19729,121300,125700,126800,120500,5200,-4.11,343547,120637,-129954,35.67,https://finance.naver.com/item/board.naver?code=108320
2022-03-04,237690,에스티팜,18846,100200,102900,103000,99400,3600,-3.47,72440,1549,-3242,0.21,https://finance.naver.com/item/board.naver?code=237690
2022-03-04,5290,동진쎄미켐,18329,35650,36150,36250,35600,800,-2.19,434098,23498,-109736,7.28,https://finance.naver.com/item/board.naver?code=005290
2022-03-04,240810,원익IPS,18136,36950,37250,37350,36750,550,-1.47,158672,30518,122760,19.2,https://finance.naver.com/item/board.naver?code=240810
2022-03-04,145020,휴젤,18058,145800,147900,148800,145600,2700,-1.82,24828,-2314,9140,70.55,https://finance.naver.com/item/board.naver?code=145020
2022-03-04,35900,JYP Ent.,17962,50600,50300,51100,50000,0,0.0,357581,-18852,36311,23.08,https://finance.naver.com/item/board.naver?code=035900
2022-03-04,41510,에스엠,17943,75500,74500,76900,74000,500,0.67,385691,-16798,-18831,14.29,https://finance.naver.com/item/board.naver?code=041510
2022-03-04,357780,솔브레인,17323,222700,228600,228600,222600,6800,-2.96,31972,-6821,-2247,27.21,https://finance.naver.com/item/board.naver?code=357780
2022-03-04,222800,심텍,16723,52500,53100,53700,52200,700,-1.32,510677,-19112,70445,14.16,https://finance.naver.com/item/board.naver?code=222800
2022-03-04,67160,아프리카TV,16690,145200,151000,152300,144400,5800,-3.84,211350,21560,70698,45.65,https://finance.naver.com/item/board.naver?code=067160
2022-03-04,299900,위지윅스튜디오,16644,38950,38600,39300,38050,0,0.0,260159,-16201,43540,4.54,https://finance.naver.com/item/board.naver?code=299900
2022-03-04,34230,파라다이스,15187,16700,16650,16750,16350,50,0.3,509481,-15470,-84051,4.2,https://finance.naver.com/item/board.naver?code=034230
2022-03-04,140410,메지온,14633,164400,172500,172500,163500,8800,-5.08,58961,5411,1713,14.61,https://finance.naver.com/item/board.naver?code=140410
2022-03-04,25900,동화기업,14504,71800,73000,73100,70800,1600,-2.18,37931,-4688,-17406,43.83,https://finance.naver.com/item/board.naver?code=025900
2022-03-04,78340,컴투스,14282,111000,114600,115100,110900,4900,-4.23,138365,1956,-33557,12.37,https://finance.naver.com/item/board.naver?code=078340
2022-03-04,56190,에스에프에이,14076,39200,39250,39700,38600,350,-0.88,116280,71874,-21485,15.5,https://finance.naver.com/item/board.naver?code=056190
2022-03-04,298380,에이비엘바이오,13905,29450,29900,30150,28800,600,-2.0,1653356,148024,351650,4.26,https://finance.naver.com/item/board.naver?code=298380
2022-03-04,348370,엔켐,13844,91000,92000,92200,89600,2500,-2.67,193139,32169,22533,1.42,https://finance.naver.com/item/board.naver?code=348370
2022-03-04,78600,대주전자재료,13700,88500,91200,91200,88000,3500,-3.8,226271,8308,-1663,13.34,https://finance.naver.com/item/board.naver?code=078600
2022-03-04,64760,티씨케이,13613,116600,119000,119000,115900,3200,-2.67,28374,-2747,3580,68.27,https://finance.naver.com/item/board.naver?code=064760
2022-03-04,36930,주성엔지니어링,13244,27450,27300,27950,27100,100,-0.36,946014,-43156,70718,12.75,https://finance.naver.com/item/board.naver?code=036930
2022-03-04,98460,고영,12941,18850,18850,19100,18700,350,-1.82,193162,3337,48874,64.67,https://finance.naver.com/item/board.naver?code=098460
2022-03-04,32500,케이엠더블유,12862,32300,32000,32700,31750,300,0.94,180047,5352,6170,3.84,https://finance.naver.com/item/board.naver?code=032500
2022-03-04,48410,현대바이오,12744,32950,35550,36050,32150,3550,-9.73,5097167,8548,445046,6.4,https://finance.naver.com/item/board.naver?code=048410
2022-03-04,195940,HK이노엔,12660,43800,44200,44400,43300,300,-0.68,119403,-2718,17010,3.25,https://finance.naver.com/item/board.naver?code=195940
2022-03-04,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600
2022-03-04,39030,이오테크닉스,12369,100400,101600,101600,99200,1200,-1.18,103564,-12127,-5405,15.92,https://finance.naver.com/item/board.naver?code=039030
2022-03-04,122870,와이지엔터테인먼트,12082,65500,64400,65700,63800,800,1.24,283228,-28820,16501,7.0,https://finance.naver.com/item/board.naver?code=122870
2022-03-04,214150,클래시스,11919,18400,18300,18650,18150,100,0.55,388267,-117078,12263,5.11,https://finance.naver.com/item/board.naver?code=214150
2022-03-04,95700,제넥신,11651,46550,48200,48200,46550,1650,-3.42,97449,6679,18472,8.82,https://finance.naver.com/item/board.naver?code=095700
2022-03-04,30190,NICE평가정보,11232,18500,19050,19150,18400,700,-3.65,130568,8566,14057,38.46,https://finance.naver.com/item/board.naver?code=030190
2022-03-04,144510,지씨셀,11060,70000,71300,71500,69900,900,-1.27,73089,13553,7234,7.36,https://finance.naver.com/item/board.naver?code=144510
2022-03-04,36540,SFA반도체,10953,6660,6710,6760,6630,90,-1.33,923696,141253,65073,4.95,https://finance.naver.com/item/board.naver?code=036540
2022-03-04,141080,레고켐바이오,10785,44500,46000,46500,44500,2000,-4.3,197257,47541,9414,8.34,https://finance.naver.com/item/board.naver?code=141080
2022-03-07,91990,셀트리온헬스케어,100014,64500,64800,66000,63900,1100,-1.68,493404,-107248,-124532,17.17,https://finance.naver.com/item/board.naver?code=091990
2022-03-07,247540,에코프로비엠,87415,381400,375000,387700,375000,5400,-1.4,159885,-21452,-15645,13.89,https://finance.naver.com/item/board.naver?code=247540
2022-03-07,66970,엘앤에프,69133,198600,194200,201300,188100,600,0.3,556648,-44462,-49453,20.56,https://finance.naver.com/item/board.naver?code=066970
2022-03-07,263750,펄어비스,66685,100700,95500,102400,95400,2200,2.23,521551,-20105,-99471,14.22,https://finance.naver.com/item/board.naver?code=263750
2022-03-07,293490,카카오게임즈,54621,70300,71000,71300,69900,2300,-3.17,675165,-126774,-72324,10.85,https://finance.naver.com/item/board.naver?code=293490
2022-03-07,112040,위메이드,33506,99800,98700,101800,98600,2400,-2.35,543609,-98441,-108338,5.97,https://finance.naver.com/item/board.naver?code=112040
