"code","created","name","market_cap","price","open_price","high_price","low_price","gap","gap_ratio","trading_volume","institutional_volume","foreign_volume","foreign_ratio","forum_url","forum_count","forum_view","forum_like","forum_unlike","forum_title_length_avg","forum_content_length_avg","forum_reply_count","year","month","day"
"005290",2022-02-18,동진쎄미켐,17969,34950,34150,35150,34050,50,0.14,417102,-23562,51391,8.1,https://finance.naver.com/item/board.naver?code=005290,27,8896,90,81,12.111111,53.925926,29,2022,2,18
"096530",2022-02-18,씨젠,26217,50200,50000,50800,49050,200,0.4,767574,-30526,-102460,13.69,https://finance.naver.com/item/board.naver?code=096530,543,58920,1283,565,15.088398,81.84531,310,2022,2,18
"025900",2022-02-18,동화기업,14161,70100,68300,70800,68300,100,0.14,31960,-152,4255,43.89,https://finance.naver.com/item/board.naver?code=025900,1,134,1,0,7.0,70.0,0,2022,2,18
"067160",2022-02-18,아프리카TV,16162,140600,142500,143500,140000,4700,-3.23,176321,-36306,-47373,46.34,https://finance.naver.com/item/board.naver?code=067160,32,7469,45,25,13.625,33.40625,24,2022,2,18
"278280",2022-02-18,천보,28870,288700,279100,292800,278200,2200,0.77,64542,-8559,-1354,10.17,https://finance.naver.com/item/board.naver?code=278280,26,7440,36,4,12.769231,41.923077,25,2022,2,18
"222800",2022-02-18,심텍,15083,47350,44200,47950,44100,2150,4.76,1256846,89961,192015,12.42,https://finance.naver.com/item/board.naver?code=222800,64,14337,47,107,12.703125,27.828125,39,2022,2,18
"034230",2022-02-18,파라다이스,15096,16600,17000,17450,16250,500,-2.92,1510709,81222,-113814,4.93,https://finance.naver.com/item/board.naver?code=034230,7,1571,6,1,18.571428,88.85714,2,2022,2,18
"263750",2022-02-18,펄어비스,62646,94600,93500,96500,92200,1500,-1.56,555340,-32740,-74576,14.59,https://finance.naver.com/item/board.naver?code=263750,182,25633,263,183,13.626373,46.615383,140,2022,2,18
"039030",2022-02-18,이오테크닉스,12788,103800,101900,104500,100700,900,0.87,41256,-9579,6432,16.03,https://finance.naver.com/item/board.naver?code=039030,1,208,1,0,3.0,1.0,1,2022,2,18
"237690",2022-02-18,에스티팜,18451,98100,95100,98800,94200,800,0.82,72040,-9946,-6328,0.44,https://finance.naver.com/item/board.naver?code=237690,7,4547,43,41,10.714286,63.857143,32,2022,2,18
"098460",2022-02-18,고영,13250,19300,19000,19400,18650,100,-0.52,191501,-5966,-20550,64.84,https://finance.naver.com/item/board.naver?code=098460,7,1304,21,0,9.714286,87.42857,7,2022,2,18
"145020",2022-02-18,휴젤,18269,147500,145200,148200,143400,0,0.0,38003,-2463,-2068,70.44,https://finance.naver.com/item/board.naver?code=145020,11,2515,19,23,12.0,34.454544,23,2022,2,18
"214150",2022-02-18,클래시스,12308,19000,18000,19250,17850,850,4.68,1349045,340625,-155620,4.96,https://finance.naver.com/item/board.naver?code=214150,18,6725,26,22,11.722222,51.666668,23,2022,2,18
"293490",2022-02-18,카카오게임즈,55009,70800,68600,71800,68600,500,0.71,572389,13308,59389,10.55,https://finance.naver.com/item/board.naver?code=293490,180,28378,286,137,16.205555,46.7,164,2022,2,18
"078340",2022-02-18,컴투스,14500,112700,109000,114000,108700,1000,0.9,127746,-503,17418,11.58,https://finance.naver.com/item/board.naver?code=078340,34,9265,120,60,14.617647,39.264706,67,2022,2,18
"215600",2022-02-18,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.25,https://finance.naver.com/item/board.naver?code=215600,377,55957,745,356,14.307693,66.888596,315,2022,2,18
"036540",2022-02-18,SFA반도체,10739,6530,6370,6570,6360,30,0.46,479766,15135,32093,5.42,https://finance.naver.com/item/board.naver?code=036540,11,2603,25,21,9.454545,34.81818,16,2022,2,18
"048260",2022-02-18,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,44.19,https://finance.naver.com/item/board.naver?code=048260,198,32088,436,196,13.722222,70.15151,135,2022,2,18
"091990",2022-02-18,셀트리온헬스케어,96448,62200,62200,62400,60900,900,-1.43,525568,-85151,-14968,17.29,https://finance.naver.com/item/board.naver?code=091990,128,17603,183,75,15.375,82.671875,57,2022,2,18
"108320",2022-02-18,LX세미콘,19013,116900,113700,116900,113400,900,0.78,134962,-212,1934,36.79,https://finance.naver.com/item/board.naver?code=108320,21,6820,37,45,13.476191,97.809525,26,2022,2,18
"032500",2022-02-18,케이엠더블유,12603,31650,30900,31800,30800,150,0.48,103113,602,20101,3.63,https://finance.naver.com/item/board.naver?code=032500,9,2803,33,6,9.444445,55.333332,27,2022,2,18
